name,address1,address2,city,state,zip,phone,type,url
"Accomplice Beer Company",,,Cheyenne,WY,82001-4564,"(307) 632-2337",planning,http://www.accomplicebeer.com
"Altitude Chophouse and Brewery","320 S 2nd St",,Laramie,WY,82070-3612,"(307) 721-4031",brewpub,http://www.altitudechophouse.com
"Bitter Creek Brewing Co","604 Broadway St",,"Rock Springs",WY,82901-6348,"(307) 362-4782",brewpub,http://www.bittercreekbrewing.com
"Black Tooth Brewing Co","312 Broadway St",,Sheridan,WY,82801-3917,"(307) 675-2337",micro,http://www.blacktoothbrewingcompany.com
"Brewery In Planning - Casper",,,Casper,WY,82609-3522,,planning,
"Brewery In Planning - Casper",,"Casper, WY",,,,,planning,
"Brewery In Planning - Gilette",,,Gillette,WY,82718-7246,"(307) 689-1393",planning,
"Brewery in Planning - Torrington",,,Torrington,WY,82240-2639,"(307) 534-5125",planning,
"Coal Creek TAP","108 E Grand Ave",,Laramie,WY,82070-3638,"(307) 460-9556",micro,http://www.coalcreektap.com
"Crags Brewing Company",,,Jackson,WY,83001-8668,"(256) 694-8187",planning,
"Danielmark's Brewing Company","209 E 18th St",,Cheyenne,WY,82001-4507,"(402) 450-8044",micro,http://www.danielmarksbrewing.com
"Freedom's Edge Brewing","301 W 16th St",,Cheyenne,WY,82001,"(307) 514-5314",micro,http://www.freedomsedgebrewing.com
"Gillette Brewing Company","301 S Gillette Ave",,Gillette,WY,82716-3705,"(307) 670-8948",brewpub,http://www.gillettebrewingcompany.com
"Gruner Brothers Brewing",,,Casper,WY,82601,"(307) 333-5110",planning,
"HeadStrong Brewery","126 N 3rd St",,Douglas,WY,82633-2163,"(307) 351-4061",micro,http://www.headstrongbrewery.com
"Lander Brewing Co","148 Main St",,Lander,WY,82520-3126,"(307) 332-8227",brewpub,http://www.landerbrewing.com
"Library Sports Grill and Brewery","201 E Custer St",,Laramie,WY,82070-3633,"(307) 742-0500",brewpub,http://laramie.librarysportsgrille.com
"Luminous Brewhouse","201 Broadway St",,Sheridan,WY,82801-3914,,brewpub,http://www.luminousbrewhouse.com
"Melvin Brewing","PO Box 3314",,Alpine,WY,83128-0314,"(307) 654-0426",micro,http://www.melvinbrewing.com
"Melvin Brewing Co","PO Box 3732",,Alpine,WY,83128-0732,"(307) 733-0005",micro,
"Mishap! Brewing Company","48 S Main St",,Buffalo,WY,82834-1823,"(307) 278-0048",micro,http://www.mishapbrewing.com
"One Eyed Buffalo Brewing Company LLC","528 Broadway St",,Thermopolis,WY,82443-2718,"(307) 864-3555",brewpub,
"Pat O'Hara Brewing Company","1019 15th St",,Cody,WY,82414-3721,"(307) 586-5410",brewpub,
"Roadhouse Brewing Company","2550 N Moose Wilson Rd",,Wilson,WY,83014-,"(307) 739-0700",brewpub,http://www.roadhousebrewery.com
"Snake River Brewing Co","265 S Millward St PO Box 3317",,Jackson,WY,83001-8582,"(307) 739-2337",micro,http://www.snakeriverbrewing.com
"Snowy Mountain Brewery","PO Box 869",,Saratoga,WY,82331-0869,"(800) 594-0178",brewpub,
"Ten Sleep Brewing Company","PO Box 406",,"Ten Sleep",WY,82442-0406,"(307) 366-2074",micro,http://www.tensleepbrewingco.com
"Wind River Brewing Co - WY","PO Box 1677",,Pinedale,WY,82941-1677,"(307) 367-2337",brewpub,http://www.windriverbrewingco.com
"Windy Peaks Brewery",,,Wheatland,WY,82201-2915,"(307) 331-2190",planning,http://www.windypeaksbrewery.com
"WYOld West Brewing Company","221 N Bent St",,Powell,WY,82435-2335,"(307) 764-6200",brewpub,
"Wyoming Territory Brewing / Eric Bischoff Family Brewing",,,Cody,WY,82414,,contract,http://www.buffalobillcodybeer.com
