name,address,city,state,zip,phone,type,url
"2 Row Brewing",,Midvale,UT,84047,,planning,
"Avenues Proper Restaurant & Publick House","376 E 8th Ave","Salt Lake City",UT,84103-2813,"(801) 828-5310",brewpub,http://www.avenuesproper.com
"Black Calf Brewery",,"Spanish Fork",UT,84660-6300,,planning,
"Bohemian Brewery and Grill","94 East 7200 South Fort Union Blvd",Midvale,UT,84047-1532,"(801) 566-5474",micro,http://www.bohemianbrewery.com
"Bonneville Brewery","1641 N Main St",Tooele,UT,84074-8023,"(435) 248-0652",brewpub,
"Brewery In Planning - Draper",,Draper,UT,84020-7821,"(801) 773-8977",planning,
"Brewery In Planning - Park City",,"Park City",UT,84098,,planning,
"Brewery In Planning - Salt Lake City",,"Salt Lake City",UT,84115,,planning,
"Brewery In Planning - Salt Lake City",,"Salt Lake City",UT,84106,,planning,
"Brewery In Planning- Midvale, UT",,,,,,planning,
"Desert Edge Brewery","273 Trolley Sq","Salt Lake City",UT,84102,"(801) 521-8917",brewpub,http://www.desertedgebrewery.com
"Eddie McStiffs Brewing Co c/o Eddie Snyder","57 S Main St",Moab,UT,84532-2502,"(435) 259-2337",contract,http://www.eddiemcstiffs.com
"Epic Brewing Co., LLC","825 S State St","Salt Lake City",UT,84111-4207,"(801) 906-0123",micro,http://www.epicbrewing.com
"Epic Brewing Co., LLC - The Annex","1048 E 2100 S Ste 110","Salt Lake City",UT,84106-2323,"(801) 742-5490",brewpub,http://www.epicbrewing.com
"Hop N' Keg Brewery / The Quarry Steakhouse and Brewpub","29 S. Vernal Ave",Vernal,UT,84078-2627,"(435) 789-2337",micro,
"Hoppers Grill and Brewing Co","890 E Fort Union Blvd",Midvale,UT,84047-1745,"(801) 566-0424",brewpub,http://www.hoppersbrewpub.com
"Jack Morman Brewing Company",,"Salt Lake City",UT,84108,,planning,
"Mine Shaft Brewing",,"Park City",UT,84098,,planning,
"Moab Brewery","686 S Main St",Moab,UT,84532-2901,"(435) 259-6333",micro,http://www.themoabbrewery.com
"Park City Brewery",,"Park City",UT,84098,,planning,http://www.parkcitybrewery.com
"Pinnacle Brewing Co/Groggs","1653 Carbonville Rd",Helper,UT,84526-2504,"(435) 637-2924",contract,
"Poplar Street Pub",,,,,,planning,
"Ravage Brewing Company",,Draper,UT,84020,,planning,http://www.facebook.com/revengebrewery
"Red Bird Brewing Co.",,Ogden,UT,84403,,planning,
"Red Rock Brewing Co - Downtown","254 S 200 W","Salt Lake City",UT,84101-1801,"(801) 521-7446",brewpub,http://www.redrockbrewing.com
"Red Rock Brewing Co - Production","443 N 400 W","Salt Lake City",UT,84103-1230,"(801) 521-7446",micro,
"Roosters Brewing Co (#1)","253 Historic 25th St",Ogden,UT,84401-2301,"(801) 627-6171",brewpub,
"Roosters Brewing Co (#2)","748 Heritage Park Blvd Ste 101",Layton,UT,84041-5724,"(801) 774-9330",brewpub,http://www.roostersbrewingco.com
"Ruby River Steak House and Brewery","4286 Riverdale Rd",Ogden,UT,84405-3512,"(801) 622-2320",brewpub,http://www.sizzlingplatter.com
"Salt Lake Brewing Co/ Squatters Pub Brewery","147 W Broadway","Salt Lake City",UT,84101-1914,"(801) 363-2739",micro,http://www.squatters.com
"Shades of Pale Brewery","154 W Utopia","Salt Lake City",UT,84115,"(435) 200-3009",micro,http://www.shadesofpale.com
"Talisman Brewing Company",,Ogden,UT,84404,,planning,http://www.talismanbrewingco.com
"The Vernal Brewing Company","510 E Main St",Vernal,UT,84078-2700,"(435) 781-2337",micro,http://www.vernalbrewingcompany.com
"Uinta Brewing Co","1722 S Fremont Dr","Salt Lake City",UT,84104-4215,"(801) 467-0909",regional,http://www.uintabrewing.com
"Utah Brewers Cooperative","1763 S 300 W","Salt Lake City",UT,84115-1802,"(801) 466-8855",regional,http://www.wasatchbeers.com
"Wasatch Brewpub","1763 S 300 W # 2","Salt Lake City",UT,84115-1802,"(435) 645-9500",brewpub,http://www.wasatchbeers.com
"Zion Canyon Brewing Co","2400 Zion Park Blvd",Springdale,UT,84767-0420,"(435) 772-0404",micro,http://www.zioncanyonbrewingco.com
