name,address,city,state,zip,phone,type,url
"C.A. Cervecera Nacional","Carrera No 7 Con Calle 1 Comdibar No 2, Via Carora #584",,,,,large,
"C.A. Cerveceria Regional","Ave 17 (Los Haticos) #112-13 Apdo 255",,,,"22 94 77",large,
"CA Cerveceria Regional","Avenida 17 No. 112-13 Apartado Aereo 255, Maracaibo",,,,"061 211733",,
"Cerveceria Artico",,,,,584142564848,planning,
"Cerveceria De Oriente","Carretera Negra Km15-Ojo Agua Barcelona",,,,,large,
"Cerveceria Modelo","Km. 10, Carretera A La Canada Apartado 903, Maracaibo",,,,061-911519/910383,large,
"Cerveceria Modelo","Apartado 903",,,,061-611022,large,
"Cerveceria Nacional S.A.I.C.A.","Ap 584 #2 V Carora, Car7 C.Call1",,,,051-39-24-11-18,large,
"Cerveceria Polar","Los Cortijos De Lourdes Apartado 2331",,,,,large,
"Cerveceria Regional","Avenida 17 No 112-13 Apartado Aereo 255",,,,,large,
"Cerveceria Union","Ave Romulo Gallegos Bol N Ap1369",,,,02-239-67-33,large,
"Cervecerias Polar CA","4ta Transv. Los Cortijos De Lourdes, Apartado 2331",,,,203-3111,large,
"Empresas Polar","Av Principal los Cortijos de Lourdes",,,,,,
"Proindusca C.A.","C. Empresarim Miranda, 07.4-0 Los Ruices",,,,02-2390019,large,
