name,address1,address2,city,state,zip,phone,type,url
"Artesanales Cervezarte C.A.","Av Oeste Altos De Manzanares B 16 B Manzanares - Baruta","Caracas, Venezuela",,,,582124289327,,http://www.cervezarte.com
"C.A. Cervecera Nacional","Carrera No 7 Con Calle 1 Comdibar No 2, Via Carora #584","Barquismeto, E.L., Venezuela",,,,,,
"C.A. Cerveceria Regional","Ave 17 (Los Haticos) #112-13 Apdo 255","Maracaibo, Venezuela",,,,"22 94 77",,
"Cerveceria De Oriente","Carretera Negra Km15-Ojo Agua Barcelona","Estado Anzoategui, Venezuela",,,,,,
"Cerveceria Dos Leones, C.A.","Calle Bernadette, Edif.Industrial, Los R","Caracas, Venezuela",,,,584143342724,,
"Cerveceria Modelo","Km. 10, Carretera A La Canada Apartado 903, Maracaibo","Edo. Zulia, Venezuela",,,,061-911519/910383,,
"Cerveceria Modelo","Apartado 903","Maracaibo, Venezuela",,,,061-611022,,
"Cerveceria Nacional S.A.I.C.A.","Ap 584 #2 V Carora, Car7 C.Call1","Barquisimeto, Venezuela",,,,051-39-24-11-18,,
"Cerveceria Polar","Los Cortijos De Lourdes Apartado 2331","Caracas, Venezuela",,,,,,
"Cerveceria Regional","Avenida 17 No 112-13 Apartado Aereo 255","Maracaibo, Venezuela",,,,,,
"Cerveceria Union","Ave Romulo Gallegos Bol N Ap1369","Caracas, Venezuela",,,,02-239-67-33,,
"Cervecerias Polar CA","4ta Transv. Los Cortijos De Lourdes, Apartado 2331","Caracus, Venezuela",,,,203-3111,,
"Cerveza Aldarra","Sector Loma Linda","Guatire, Venezuela",,,,"58 (412) 372-2181",,http://www.cervezaaldarra.com
"Legado Cervecería Independiente","Av. Los Chorros, Urb. Sebucán, C.C. Sebu","Caracas, Venezuela",,,,584143343831,,http://www.cervezalegado.com
"Mito Brewhouse C.A","Av. Los Proceres, Zona Industrial Los An","Merida, Venezuela",,,,"58 (414) 717-7434",,http://www.mitobrewhouse.com
"Pisse Des Gottes","Av Intervecinal Qta Jeannette Colinas de","Caracas, Venezuela",,,,"58 (414) 314-6119",,http://www.pissedesgottes.com
"Proindusca C.A.","C. Empresarim Miranda, 07.4-0 Los Ruices","Caracas, Venezuela",,,,02-2390019,,
