name,address,city,state,zip,phone,type,url
"2 Witches Winery and Brewing Company, Inc.",,Danville,VA,24541-3545,,planning,
"Adroit Theory Brewing Company","404 Browning Ct Unit C",Purcellville,VA,20132-6171,"(703) 434-0553",micro,http://www.adroit-theory.com
"Adventure Brewing Co","33 Perchwood Dr Ste 101",Fredericksburg,VA,22405-4552,"(540) 242-8876",micro,http://www.adventure-brewing.com
"Ajax Aleworks",,Richmond,VA,23224,,planning,http://www.ajaxaleworks.tumblr.com
"Anheuser-Busch InBev – Williamsburg","7801 Pocahontas Trl",Williamsburg,VA,23185-6302,"(757) 253-3600",large,http://www.anheuser-busch.com
"Apocalypse Ale Works","1257 Burnbridge Rd",Forest,VA,24551-3803,"(434) 258-8761",micro,http://www.apocalypsebrewworks.com
"Ardent Craft Ales","3200 W Leigh St",Richmond,VA,23230-4410,,micro,http://www.ardentcraftales.com
"Arlington Brewing Company",,,,,,planning,http://www.greatfallsbrew.com
"Aslin Beer Company",,Reston,VA,20190,,planning,http://www.aslinbeer.com
"BadWolf Brewing Company","9776 Center St",Manassas,VA,20110-4128,"(571) 358-9774",micro,http://www.badwolfbrewingcompany.com
"BadWolf Brewing Company",,Manassas,VA,20110-1728,"(703) 479-2305",planning,
"Bald Guy Brewery",,Leesburg,VA,20176,,planning,http://www.baldguybrewery.com
"Barnhouse Brewery","43271 Spinks Ferry Rd.",Leesburg,VA,20176-5629,"(703) 675-8480",micro,http://www.barnhousebrewery.com
"Barracks Brewing Company",,"Fairfax Station",VA,22039,,planning,
"Battlefield Brewing Co","4187 Plank Rd",Fredericksburg,VA,22407-4896,"(540) 785-2164",brewpub,
"Beach Brewing Co","2585 Horse Pasture Rd","Virginia Beach",VA,23453-2993,"(757) 563-2337",micro,http://www.beachbrewingcompany.com
"Beer Hound Brewery (at Fermentation Trap)","6420 Seminole Trl Ste 12",Barboursville,VA,22923-2836,"(434) 985-2192",micro,http://www.beerhoundbrewery.com
"Belly Love Brewing Company",,Purcellville,VA,20132,,planning,
"Beltway Brewing Company","22620 Davis Dr Ste 110",Sterling,VA,20164-4470,"(571) 989-2739",micro,http://www.beltwaybrewco.com
"Big Lick Brewing Company","135 Salem Ave SW Ste 100",Roanoke,VA,24011,"(540) 562-8383",micro,http://www.biglickbrewingco.com
"Big Ugly Brewing Co",,Chesapeake,VA,23322-4378,"(757) 609-2739",planning,http://www.biguglybrewing.com
"Blue and Gray Brewing Co","3321 Dill Smith Dr Bowman Center",Fredericksburg,VA,22408-7319,"(540) 371-7799",brewpub,http://www.blueandgraybrewingco.com
"Blue Lab Brewing Co","123 S Randolph St",Lexington,VA,24450-2065,"(540) 458-0146",micro,http://www.bluelabbrewing.com
"Blue Mountain Barrel House and Organic Brewery","495 Cooperative Way",Arrington,VA,22922-3305,"(434) 263-4002",micro,http://www.bluemountainbarrel.com
"Blue Mountain Brewery","9519 Critzers Shop Rd",Afton,VA,22920-2415,"(540) 456-8020",brewpub,http://www.bluemountainbrewery.com
"Brass Cannon Brewing","8105 Richmond Rd Ste 105",Toano,VA,23168-9260,,micro,
"Brewery In Planning",,,,,,planning,
"Brewery In Planning - Annandale",,,,,,planning,
"Brewery In Planning - Arlington",,,,,,planning,
"Brewery In Planning - Burke",,Burke,VA,22015-3612,"(703) 795-9495",planning,
"Brewery In Planning - Charlottesville",,Charlottesville,VA,22902-1125,,planning,
"Brewery In Planning - Colonial Beach",,"Colonial Beach",VA,22443,,planning,
"Brewery In Planning - Crozet, VA.",,Crozet,VA,22932-1933,,planning,
"Brewery In Planning - Fairfax",,Fairfax,VA,22030,,planning,
"Brewery In Planning - Heathsville",,Heathsville,VA,22473,,planning,
"Brewery In Planning - Herndon",,Herndon,VA,20171,,planning,
"Brewery In Planning - Linden",,,,,,planning,
"Brewery In Planning - Midlothian",,Midlothian,VA,23113,,planning,
"Brewery In Planning - Midlothian",,Midlothian,VA,23113,,planning,
"Brewery In Planning - Poquoson",,Poquoson,VA,23662,,planning,
"Brewery In Planning - Roanoke",,,,,,planning,
"Brewery In Planning - Suffolk",,Suffolk,VA,23435-2214,,planning,
"Brewery In Planning - The Bold Mariner Brewing Company",,Norfolk,VA,23508,,planning,
"Brewery In Planning - Vienna",,Vienna,VA,22181,,planning,
"Brewery In Planning - Virginia Beach",,,,,,planning,
"Brewery In Planning - Virginia Beach",,"Virginia Beach",VA,23451-4391,,planning,
"Brewery In Planning - Williamsburg",,,,,,planning,
"Brewery In Planning- Berryville, VA.",,,,,,planning,
"Brewery In Planning- Chartlottesville, VA.",,,,,,planning,
"Brewery In Planning- McLean, VA.",,,,,,planning,
"Brewery In Planning- Norfolk, VA.",,,,,,planning,
"Brewery In Planning- Reston",,,,,,planning,
"Brewery In Planning- Richmond, VA.",,Richmond,VA,23230-2222,,planning,
"Brothers Craft Brewing","800 N Main St",Harrisonburg,VA,22802-4625,,micro,http://www.brotherscraftbrewing.com
"Bull & Bones Brewhaus & Grill","1470 S Main St Ste 120",Blacksburg,VA,24060-5571,"(540) 953-2855",brewpub,http://www.bullandbones.com
"Caboose Brewing Co.","520 Mill St NE",Vienna,VA,22180-4526,"(703) 473-4870",micro,http://www.caboosebrewing.com
"Callaway Brewing Company","21 Woodwinds Rd",Callaway,VA,24067,"(540) 267-6733",micro,http://www.callwaybrewingco.com
"Capitol City Brewing Co - Arlington","4001 Campbell Ave",Arlington,VA,22206-3425,"(703) 578-3888",micro,http://www.capcitybrew.com
"Castleburg Brewery",,Richmond,VA,23223-5950,,planning,
"Center of the Universe Brewing Co","11293 Air Park Rd",Ashland,VA,23005-3436,"(804) 368-0299",micro,http://www.cotubrewing.com
"Champion Brewing Company","324 6th St SE",Charlottesville,VA,22902-5655,"(434) 295-2739",micro,http://www.championbrewingcompany.com
"Chaos Mountain Brewing, LLC","3135 Dillons Mill Rd",Callaway,VA,24067-2615,,micro,
"Coelacanth Brewing",,Norfolk,VA,23517-1925,757.59.UGLY.1,planning,http://www.coelacanth.com
"Corcoran Brewing","205 Hirst Rd Ste 105",Purcellville,VA,20132-6199,"(540) 882-9073",micro,http://www.corcoranbrewing.com
"Country Roads Brewing Company - Brewery In Planning - Lewisburg",,Christiansburg,VA,24073,,planning,
"Crooked Run Brewing","205 Harrison St SE",Leesburg,VA,20175-3702,"(703) 609-9241",micro,http://www.crookedrunbrewing.com
"Damascus Brewery","32155 Government Rd",Damascus,VA,24236-2611,"(540) 314-2782",micro,http://www.thedamascusbrewery.com
"Devils Backbone Brewing Co - Basecamp","200 Mosbys Run",Roseland,VA,22967-8551,"(434) 361-1001",brewpub,http://www.dbbrewingcompany.com
"Devils Backbone Brewing Co - Outpost Production Facility","50 Northwind Ln",Lexington,VA,24450-3303,"(434) 361-1001",regional,http://www.dbbrewingcompany.com
"Dirt Farm Brewing",,Bluemont,VA,20135,"(540) 554-2337",planning,http://www.dirtfarmbrewing.com
"Escutcheon Brewing Co.","142 W Commercial St",Winchester,VA,22601,,micro,http://www.escutcheonbrewing.com
"Escutcheon Brewing Company",,Winchester,VA,22601-4828,"(540) 931-8713",planning,http://www.escutcheonbrewing.com
"Extra Billys Steak and BBQ","1110 Alverser Dr",Midlothian,VA,23113-2654,"(804) 379-8727",brewpub,http://www.extrabillys.com
"Fair Winds Brewing Company",,Lorton,VA,22079-1133,"(703) 372-2001",planning,http://www.fairwindsbrewing.com
"Fidelis Beer Company",,Burke,VA,22015,,planning,
"Flying Mouse Brewery","221 Precast Way",Troutville,VA,24175-6099,"(540) 992-1288",micro,http://www.flyingmousebrewery.com
"Forge Brew Works","8532 Terminal Rd Ste M",Lorton,VA,22079-1428,"(703) 372-2979",micro,http://www.forgebrewworks.com
"Gordon Biersch Brewery Restaurant - Tysons Corner","7861 L. Chain Bridge Rd.","Mc Lean",VA,22102-4515,"(703) 388-5454",brewpub,http://www.gordonbierschrestaurants.com
"Gordon Biersch Brewery Restaurant - Virginia Beach","4561 Virginia Beach Blvd","Virginia Beach",VA,23462-3015,"(757) 490-2739",brewpub,http://www.gordonbierschrestaurants.com
"Great American Restaurants, Sweetwater Tavern","14250 Sweetwater Ln",Centreville,VA,20121-5336,"(703) 449-1100",brewpub,http://www.greatamericanrestaurants.com
"Great American Restaurants, Sweetwater Tavern","3066 Gate House Plz","Falls Church",VA,22042-1028,"(703) 645-8100",brewpub,http://www.greatamericanrestaurants.com
"Great American Restaurants, Sweetwater Tavern","45980 Waterview Plz",Sterling,VA,20166-6556,"(571) 434-6500",brewpub,http://www.greatamericanrestaurants.com
"Hardywood Park Craft Brewery","2408 Ownby Ln",Richmond,VA,23220-1319,"(804) 420-2420",micro,http://www.hardywood.com
"Heritage Brewing Co","9436 Center Point Ln",Manassas,VA,20110-1810,,micro,http://www.heritagebrews.com
"Heroic Aleworks",,Woodbridge,VA,22191,,planning,http://www.potomacaleworks.com
"Holston Brewing Company",,Bristol,VA,24202,,planning,
"Hopkins Ordinary Ale Works",,Sperryville,VA,22740-0437,,planning,
"Hops Grillhouse and Brewery","3625 Jefferson Davis Hwy",Alexandria,VA,22305-3133,"(703) 837-9107",brewpub,http://www.hopsrestaurants.com
"Isley Brewing Company","1715 Summit Ave",Richmond,VA,23230,"(804) 716-2132",micro,http://www.isleybrewingcompany.com
"James River Brewing Co","PO Box 832 330 Valley St",Scottsville,VA,24590-0832,"(434) 390-7770",micro,http://www.jamesriverbrewing.com
"Jefferson Street Brewery / Waterstone Pizza","1309 Jefferson St",Lynchburg,VA,24504-1815,"(434) 455-1515",brewpub,http://www.jeffersonstreetbrewery.com
"Jurnee Brewing Company",,Chantilly,VA,20152-2075,,planning,http://www.jurneebeers.com
"Legend Brewing Co","321 W 7th St",Richmond,VA,23224-2307,"(804) 232-8871",micro,http://www.legendbrewing.com
"Lickinghole Creek Craft Brewery","4100 Knolls Point Dr",Goochland,VA,23063-2858,"(804) 314-8717",micro,http://www.lickingholecreek.com
"Lost Rhino Brewing Co","21730 Red Rum Dr Ste 142-152",Ashburn,VA,20147-5866,"(703) 728-9694",micro,http://www.lostrhino.com
"Mad Fox Brewing Co","444 W Broad St Ste I","Falls Church",VA,22046-3362,"(703) 942-6840",brewpub,http://www.madfoxbrewing.com
"Mad Horse Brewpub","34 E Broad Way",Lovettsville,VA,20180-8617,"(570) 436-0669",brewpub,http://www.madhorsebrewpub.com
"Metal Craft Brewing Company",,Waynesboro,VA,22980,,planning,http://www.metalcraftbrew.com
"Middle of Somewhere Brewing Co",,Independence,VA,24348,,planning,
"Midnight Brewery","2410 Granite Ridge Rd",Rockville,VA,23146-2234,"(804) 356-9379",micro,http://www.midnight-brewery.com
"MillerCoors Brewing Co - Shenandoah Facility","5135 South East Side Hwy",Elkton,VA,22827-3469,"(540) 289-8201",large,http://www.coors.com
"Mud Hound Brewing Co / MacDowell Brew Kitchen","202B Harrison St SE",Leesburg,VA,20175-3701,"(703) 777-2739",brewpub,http://www.macdowellbrewkitchen.com
"Nostrum Brewing",,,,,,planning,
"Ocelot Brewing","23600 Overland Dr Ste 180",Sterling,VA,20166-4441,"(703) 665-2146",micro,http://www.ocelotbrewing.com
"O'Connor Brewing Co","521 W 25th St",Norfolk,VA,23517-1209,"(757) 652-0059",micro,http://www.oconnorbrewing.com
"Old 690 Brewing Co","15670 Ashbury Church Rd",Purcellville,VA,20132,"(540) 668-7023",micro,http://www.old690.com
"Old Bust Head Brewing Co.","7134 Lineweaver Rd",Warrenton,VA,20187-3949,"(540) 347-4777",micro,http://www.oldbusthead.com
"Old Ox Brewery LLC","44652 Guilford Dr Ste 114",Ashburn,VA,20147-6006,"(703) 729-8375",micro,http://www.oldoxbrewery.com
"Ornery Beer Company",,Woodbridge,VA,22192-6806,,planning,http://www.ornerybeercompany.com
"Pale Fire Brewing Co","217 S Liberty St Ste 105",Harrisonburg,VA,22801,"(540) 217-5452",micro,http://www.palefirebrewing.com
"Parkway Brewing","739 Kessler Mill Rd",Salem,VA,24153-3035,"(540) 314-8234",micro,http://www.parkwaybrewing.com
"Piccadilly Brewpub& Restaurant","125 E Piccadilly St",Winchester,VA,22601-5004,"(540) 535-1899",brewpub,
