name,address,city,state,zip,phone,type,url
"101 Brewery","294793 US Hwy 101",Quilcene,WA,98376,"(360) 765-6485",brewpub,http://www.101brewery.com
"12 String Brewing Co","11616 E Montgomery Dr Ste 26",Spokane,WA,99206-6608,"(509) 990-8622",micro,http://www.twelvestringbrewingco.com
"192 Brewing","7324 NE 175th St",Kenmore,WA,98028-2500,"(425) 424-2337",micro,http://www.192brewing.com
"54-40 Brewing Company",,,,,,planning,
"7 Seas Brewing Co","3006 Judson St Ste 110","Gig Harbor",WA,98335-1226,"(253) 514-8129",micro,http://www.7seasbrewing.com
"Adam's Northwest Bistro / Twin Rivers Brewing","104 N Lewis St",Monroe,WA,98272-1502,"(360) 794-4056",brewpub,http://www.adamsnwbistro.com
"Airways Brewing Co","6644 S 196th St Ste T100",Kent,WA,98032-2124,"(253) 200-1707",brewpub,http://www.airwaysbrewing.com
"Alpine Brewing Co","PO Box 2320",Oroville,WA,98844-2320,"(509) 476-9662",micro,http://www.alpine-brewing.com
"American Brewing Co","180 W Dayton St Warehouse 102",Edmonds,WA,98020-7211,,micro,http://www.americanbrewing.co
"Amnesia Brewing","1834 Main St",Washougal,WA,98671-4107,"(503) 281-7708",brewpub,http://www.amnesiabrews.com/
"Anacortes Brewery/Rockfish Grill","320 Commercial Ave",Anacortes,WA,98221-1517,"(360) 588-1720",brewpub,http://www.anacortesrockfish.com
"Ashtown Brewing Co","1175 Hudson St",Longview,WA,98632-3158,"(360) 353-5286",micro,http://www.ashtownbrewing.com
"Aslan Brewing Company","1330 N Forest St",Bellingham,WA,98225-4702,"(360) 778-2088",brewpub,http://www.aslanbrewing.com
"Atomic Ale Brewpub and Eatery","1015 Lee Blvd",Richland,WA,99352-4226,"(509) 946-5465",brewpub,http://www.atomicalebrewpub.com
"Awkward Brewing","12202 11th Place NE","Lake Stevens",WA,98258,"(425) 879-7891",micro,
"Back Yard Brewing Company",,Marysville,WA,98270-8953,,planning,http://www.backyardbeers.com
"Backwoods Brewing Company","1162-B Wind River Rd",Carson,WA,98610-3298,"(509) 427-3412",brewpub,http://www.backwoodsbrewingcompany.com
"Bad Ass Backyard Brewing",,Spokane,WA,99206-4501,,planning,
"Bad Jimmy's Brewing Co","4358B Leary Way NW",Seattle,WA,98107-4554,"(206) 789-1548",micro,http://www.badjimmysbrewingco.com
"Badass Backyard Brewing",,Spokane,WA,99206-4501,,planning,
"Badger Mountain Brewing","1 Orondo Ave",Wenatchee,WA,98801-2206,"(509) 888-7468",micro,
"Bainbridge Island Brewing","9415 Coppertop Loop NE Ste 103-104",Seattle,WA,98110-3339,,micro,http://www.bainbridgebeer.com
"Bale Breaker Brewing Company","1801 Birchfield Rd",Yakima,WA,98901-9577,"(509) 424-4000",micro,http://www.balebreaker.com
"Barhop Brewing","124 W Railroad Ave","Port Angeles",WA,98362-2621,"(360) 460-5155",micro,http://www.barhopbrewing.com
"Barnstormer Brewing","882 Hot Springs Ave",Carson,WA,98610-3318,"(509) 427-9589",micro,
"Barrel Mountain Brewing",,"Battle Ground",WA,98604,,planning,
"Beerded Brothers Brewing","15005 NE 26th St",Vancouver,WA,98684-7839,"(206) 235-6106",micro,http://www.beerdedbrothers.com
"Bellevue Brewing Co","1820 130th Ave NE # 2",Bellevue,WA,98005-2205,"(425) 497-8686",brewpub,http://www.bellevuebrewing.com
"Berchman's Brewing Company","1110 Dazet Rd",Yakima,WA,98908-9672,"(509) 952-1058",micro,http://www.berchmansbrewingco.com
"Beta Brewing Co","5205 S 2nd Ave",Everett,WA,98203-4114,"(206) 380-1768",micro,http://www.betabrewing.com
"Big Al Brewing","9832 14th Ave SW",Seattle,WA,98106-2816,"(206) 453-4487",micro,http://www.bigalbrewing.com
"Big Barn Brewing Co","16004 N Applewood Ln",Mead,WA,99021-7818,"(509) 238-2489",micro,
"Big Block Brewing","24859 NE 2nd Ct",Sammamish,WA,98074-3428,"(425) 457-0515",micro,http://www.bigblockbrewery.com
"Big Time Brewery & Alehouse","4133 University Way NE",Seattle,WA,98105-6213,"(206) 545-4509",brewpub,http://www.bigtimebrewery.com
"Big Water Brewing Co",,Wenatchee,WA,98801-1956,,planning,
"Billabong Brewing Myaree","72 McCoy St Myaree",,,,,,http://www.billabongbrewing.com.au
"BirdsView Brewing Co","38302 State Route 20",Concrete,WA,98237-9460,"(360) 826-3406",brewpub,http://www.birdsviewbrewingcompany.com
