name,address,city,state,zip,phone,type,url
"Big Timber Brewing","1210 S Davis Ave",Elkins,WV,26241-3437,"(304) 637-5008",micro,http://www.bigtimberbrewing.com
"Blackwater Brewing Co","PO Box 352",Davis,WV,26260-0352,"(304) 259-4221",brewpub,http://www.blackwater-brewing.com
"Brewery In Planning - Bridgeport",,Bridgeport,WV,26330-0338,,planning,
"Brewery In Planning- Lewisburg, WV",,,,,,planning,
Brewstel,"120 Davis Ave",Elkins,WV,26241-3812,"(304) 940-4769",micro,http://www.brewstel.com
"Bridge Brew Works","335 Nick Rahall Greenway",Fayetteville,WV,25840-1617,"(304) 574-1998",micro,http://www.bridgebrewworks.com
"Charleston Brewing Company","702 Quarrier St",Charleston,WV,25301-2627,"(304) 343-2739",micro,http://www.charlestonbrewingcompany.com
"Chestnut Brew Works","3186 Halleck Rd",Morgantown,WV,26508-3614,"(304) 276-2737",micro,http://www.chestnutbrewworks.com
"Greenbrier Valley Brewing Co","862 Industrial Park Rd Ste A",Maxwelton,WV,24957,"(304) 520-4669",micro,http://www.facebook.com/greenbriervalleybrewingcompany
"Lost River Brewing Co","155 W Main St",Wardensville,WV,26851,"(304) 874-4455",brewpub,http://www.lostriverbrewing.com
"Morgantown Brewing Co","1291 University Ave",Morgantown,WV,26505-5450,"(304) 292-6959",brewpub,http://www.morgantownbrewing.com
"Mountain State Brewing Co","PO Box 391",Thomas,WV,26292-0391,"(304) 463-4500",micro,http://www.mountainstatebrewing.com
"North End Brewing Co","3500 Emerson Ave",Parkersburg,WV,26104-1806,"(304) 428-5854",brewpub,http://www.netbrewery.com
"Parkersburg Brewing Co",,Parkersburg,WV,26101,,planning,
"Rustik Bru Company",,,,,,planning,http://www.rustikbru.com
"Wheeling Brewing Co","2247 Market St",Wheeling,WV,26003,"(304) 905-8757",micro,http://www.wheelingbrewing.com
