name,address,city,state,zip,phone,type,url
"Altitude Chophouse and Brewery","320 S 2nd St",Laramie,WY,82070-3612,"(307) 721-4031",brewpub,http://www.altitudechophouse.com
"Bitter Creek Brewing Co","604 Broadway St","Rock Springs",WY,82901-6348,"(307) 362-4782",brewpub,http://www.bittercreekbrewing.com
"Black Tooth Brewing Co","312 Broadway St",Sheridan,WY,82801-3917,"(307) 675-2337",micro,http://www.blacktoothbrewingcompany.com
"Brewery In Planning - Casper",,Casper,WY,82609-3522,,planning,
"Brewery In Planning - Casper",,,,,,planning,
"Brewery In Planning - Gilette",,,,,,planning,
"Clear Creek Brewing","48 S Main St",Buffalo,WY,82834-1823,"(307) 278-0048",micro,http://www.ccbrewco.com
"Coal Creek TAP","108 E Grand Ave",Laramie,WY,82070-3638,"(307) 460-9556",micro,http://www.coalcreektap.com
"Freedom's Edge Brewing","301 W 16th St",Cheyenne,WY,82001,"(307) 514-2623",micro,http://www.freedomsedgebrewing.com
"Gillette Brewing Company","301 S Gillette Ave",Gillette,WY,82716-3705,"(307) 670-8948",micro,http://www.gillettebrewingcompany.com
"HeadStrong Brewery",,Douglas,WY,82633-2597,"(307) 359-8801",planning,http://www.headstrongbrewery.com
"Lander Brewing Co","148 Main St",Lander,WY,82520-3126,"(307) 699-1369",micro,http://www.landerbrewing.com
"Library Sports Grill and Brewery","201 E Custer St",Laramie,WY,82070-3633,"(307) 742-0500",brewpub,http://laramie.librarysportsgrille.com
"Luminous Brewhouse","760 Monte Vista St",Sheridan,WY,82801-4641,"(307) 655-7024",micro,http://www.tensleepbrewingco.com
"Melvin Brewing","PO Box 2061",Jackson,WY,83001-2061,"(307) 733-0005",brewpub,http://www.thaijh.com
"Melvin Brewing Co",,,,,"(307) 733-0005",planning,
"One Eyed Buffalo Brewing Company LLC","528 Broadway Street",Thermopolis,WY,82443-2718,"(307) 921-4514",micro,
"Pat O'Hara Brewing Company","1019 15th St",Cody,WY,82414-3721,"(307) 586-5410",brewpub,
"Prairie Fire Brewing Company, LLC","601 S Douglas Hwy",Gillette,WY,82716-4423,,micro,http://www.prairiefirebeer.com/
"Roadhouse Brewing Company","2550 N Moose Wilson Rd",Wilson,WY,83014-9614,"(307) 739-0700",brewpub,http://www.roadhousebrewery.com
"Sanford's Grub and Pub Brewery","PO Box L 1 E Alger St",Sheridan,WY,82801-0630,"(307) 674-1722",brewpub,
"Shadows Pub & Grill","115 W 15th St",Cheyenne,WY,82001-4564,"(307) 634-7625",brewpub,http://www.shadowspub.com
"Snake River Brewing Co","265 S Millward St",Jackson,WY,83001-8582,"(307) 739-2337",micro,http://www.snakeriverbrewing.com
"Snowy Mountain Brewery","PO Box 869 601 E Pic Pike Rd",Saratoga,WY,82331-0869,"(307) 760-2302",micro,
"Suds Brothers Brewing Co","1012 Main St",Evanston,WY,82930-3443,"(801) 391-4167",brewpub,http://www.sudsbrothersbrewery.com
"Ten Sleep Brewing Company","PO Box 406","Ten Sleep",WY,82442,,micro,http://www.tensleepbrewingco.com
"Wind River Brewing Co - WY","PO Box 1677",Pinedale,WY,82941-1677,"(307) 367-2337",brewpub,http://www.windriverbrewingco.com
"WYOld West Brewing Company",,Powell,WY,82435,,planning,
"Wyoming State Brewing Co/ World Famous Wonder Bar","PO Box 2825",Casper,WY,82602-2825,"(307) 234-4110",brewpub,http://www.thewonderbar.com
"Wyoming Territory Brewing / Eric Bischoff Family Brewing",,Cody,WY,82414,,contract,http://www.buffalobillcodybeer.com
