name,address,city,state,zip,phone,type,url
"14th Star Brewing","133 North Main Street, Suite 7","Saint Albans",VT,05478-1735,"(802) 528-5988",micro,http://www.14thstarbrewing.com
"1st Republic Brewing Co","16 King Rd",Fairfax,VT,05454-9616,"(802) 598-9281",micro,http://www.1strepublicbrewingco.com
"Alchemist Cannery","35 Crossroad",Waterbury,VT,05676-9003,"(802) 244-7744",micro,http://www.alchemistbeer.com
"Backacre Beermakers",,Weston,VT,05161,,micro,http://www.backacrebeermakers.com
"Bent Hill Brewery","1972 Bent Hill Rd",Randolph,VT,05060-8833,"(802) 249-1125",micro,http://www.benthilbrewery.com
"Black Lantern Inn and Brewing Co","2057 N Main St",Montgomery,VT,05470,"(802) 326-3269",brewpub,http://www.theblacklanterninn.com
"Bobcat Brewery & Cafe","5 Main St",Bristol,VT,05443-1317,"(802) 453-3311",brewpub,http://www.bobcatcafe.com
"Brewster River Pub & Brewery","4087 Vt Route 108 S",Jeffersonville,VT,05464-9509,"(802) 644-6366",brewpub,http://www.brewsterriverpubnbrewery.com
"Burlington Beer Company","25 Omega Dr Ste 150",Williston,VT,05495-7334,"(802) 863-2337",micro,http://www.burlingtonbeercompany.com
"Covered Bridge Brewing","30 Sleepy Hollow Ln",Lyndonville,VT,05851-8632,"(613) 915-2337",micro,http://www.coveredbridgebrew.com
"Drop In Brewing","610 Route 7 South",Middlebury,VT,05753-8987,"(802) 989-7414",micro,http://www.dropinbeer.com
"Fiddlehead Brewing","6305 Shelburne Rd",Shelburne,VT,05482-4437,"(802) 399-2711",micro,http://www.fiddleheadbrewing.com
"Flat Street Brew Pub",,Brattleboro,VT,05301-3246,"(802) 257-1911",planning,http://flatstreet.net/
"Foley Brothers Brewing Co.","79 Stone Mill Dam Rd",Brandon,VT,05733-8945,"(802) 247-8002",micro,https://www.facebook.com/FoleyBrothersBrewing
"Four Quarters Brewing Co","150 W Canal St",Winooski,VT,05404-2171,,micro,http://www.fourquartersbrewing.com
"Frost Beer Works","171 Commerce Street",Hinesburg,VT,05461-4482,"(949) 945-4064",micro,http://www.frostbeerworks.com
"Harpoon Brewery - Vermont","336 Ruth Carney Dr",Windsor,VT,05089-9419,"(802) 674-5491",regional,http://www.harpoonbrewery.com
"Hermit Thrush Brewery, LLC",29 High St Ste 101C,Brattleboro,VT,05301,"(802) 257-BEER",micro,http://www.hermitthrushbrewery.com/
"Hill Farmstead Brewery","403 Hill Rd","Greensborough Bend",VT,05842-8813,"(802) 533-7450",micro,http://www.hillfarmstead.com
"Hop & Moose Brewing Co","41 Center St",Rutland,VT,05701,"(802) 775-7063",brewpub,http://www.hopnmoose.com
"Hop N' Moose Brewing Co","41 Center St",Rutland,VT,05701-4016,"(802) 775-7063",brewpub,http://www.hopnmoose.com
"Infinity Brewing Company","80 Ethan Allen Dr","South Burlington",VT,05403-5971,"(802) 735-1288",micro,http://www.infinitybrewing.com
"Kingdom Brewing","1876 Vt Route 105",Newport,VT,05855-9915,"(802) 334-7096",micro,http://www.kingdombrewingvt.com
"Lawson's Finest Liquids",,Warren,VT,05674,"(802) 272-8436",micro,http://www.lawsonsfinest.com
"Long Trail Brewing Co","PO Box 168","Bridgewater Corners",VT,05035-0168,"(802) 672-5011",regional,http://www.longtrail.com
"Lost Nation Brewing","254 Wilkins St",Morrisville,VT,05661-6117,"(802) 851-8041",brewpub,http://www.lostnationbrewing.com
"Madison Brewing Co, Pub and Restaurant","428 Main St",Bennington,VT,05201-2109,"(802) 442-7397",brewpub,http://www.madisonbrewing.com
"Magic Hat Brewing Co/ North American Breweries","5 Bartlett Bay Rd","South Burlington",VT,05403-7727,"(802) 658-2739",regional,http://www.magichat.net/
"McNeills Brewery","90 Elliot St",Brattleboro,VT,05301-3269,"(802) 254-2553",brewpub,https://www.facebook.com/McNeillsBrewery
"Northshire Brewery, Inc","108 County St",Bennington,VT,05201-1807,"(802) 681-0201",micro,http://www.northshirebrewery.com
"Norwich Inn/Jasper Murdock's Ale House","PO Box 908",Norwich,VT,05055-0908,"(802) 649-1143",brewpub,http://www.norwichinn.com
"Otter Creek Brewing Co","793 Exchange St",Middlebury,VT,05753-1193,"(802) 388-0727",regional,http://www.ottercreekbrewing.com
